SentiDate,Sentiscore,ALBDate,ALBOpen,ALBHigh,ALBLow,ALBClose,ALBAdj Close,ALBVolume,ALBUnnamed: 7,ALBUnnamed: 8,Source,LiDate,LiOpen,LiHigh,LiLow,LiClose,LiAdj Close,LiVolume
05-03-2024,-0.3071991558618044,05-03-2024,122.059998,122.440002,106.690002,109.400002,109.400002,19322400,,,both,05-03-2024,0.001572,0.001572,0.001244,0.001362,0.001362,1155143
04-03-2024,-0.1220879599390376,04-03-2024,140.149994,140.220001,133.119995,133.199997,133.199997,4216900,,,both,04-03-2024,0.001725,0.001749,0.001475,0.001571,0.001571,1262621
01-03-2024,-0.2353029469154949,01-03-2024,138.380005,143.190002,137.880005,142.800003,142.800003,3279700,,,both,01-03-2024,0.001752,0.001953,0.001696,0.001698,0.001698,1127246
29-02-2024,0.3378315132605304,29-02-2024,136.539993,140.639999,135.759995,137.850006,137.850006,4563000,,,both,29-02-2024,0.00161,0.001826,0.001572,0.001743,0.001743,1815600
28-02-2024,0.8873287671232877,28-02-2024,130.660004,133.75,129.979996,132.059998,132.059998,2733100,,,both,28-02-2024,0.001245,0.001614,0.0012,0.001608,0.001608,2514223
27-02-2024,-0.169430748543254,27-02-2024,127.440002,130.320007,126.5,128.589996,128.589996,3540300,,,both,27-02-2024,0.001186,0.001255,0.001181,0.001245,0.001245,652988
26-02-2024,0.387860843819393,26-02-2024,120.0,124.25,118.75,121.519997,121.519997,2081000,,,both,26-02-2024,0.001159,0.001194,0.001109,0.001186,0.001186,684462
23-02-2024,0.1098871209030327,23-02-2024,118.480003,122.050003,115.919998,120.650002,120.650002,2762300,,,both,23-02-2024,0.001183,0.001245,0.001147,0.001203,0.001203,898047
22-02-2024,-0.5110390925663357,22-02-2024,117.949997,120.400002,116.760002,118.18,118.18,2018300,,,both,22-02-2024,0.001084,0.001301,0.001084,0.001183,0.001183,1287797
21-02-2024,0.4260645990679736,21-02-2024,115.199997,120.57,114.059998,118.550003,118.550003,3683300,,,both,21-02-2024,0.001202,0.001224,0.001037,0.001084,0.001084,770333
20-02-2024,-0.5090795361593611,20-02-2024,122.099998,122.099998,113.400002,114.82,114.82,3840200,,,both,20-02-2024,0.001172,0.001232,0.001106,0.0012,0.0012,915171
31-01-2024,-0.1970912960581741,31-01-2024,119.25,120.099998,114.480003,114.739998,114.739998,3653300,,,both,31-01-2024,0.000893,0.000988,0.000886,0.00089,0.00089,864334
30-01-2024,-0.7783317555485432,30-01-2024,121.269997,122.989998,118.800003,120.309998,120.309998,1948700,,,both,30-01-2024,0.000867,0.00102,0.000867,0.000894,0.000894,1541595
29-01-2024,0.964770105239462,29-01-2024,118.650002,123.279999,117.379997,123.199997,123.199997,1996400,,,both,29-01-2024,0.000817,0.000866,0.000789,0.000866,0.000866,448961
26-01-2024,0.3130936227951153,26-01-2024,120.07,122.129997,119.0,119.839996,119.839996,1525000,,,both,26-01-2024,0.000818,0.000851,0.000804,0.000845,0.000845,440327
25-01-2024,0.778122342819987,25-01-2024,122.0,123.370003,115.959999,118.449997,118.449997,2810400,,,both,25-01-2024,0.000851,0.000926,0.000789,0.000819,0.000819,848385
24-01-2024,0.9143711432024936,24-01-2024,125.349998,126.080002,120.019997,121.690002,121.690002,2026500,,,both,24-01-2024,0.00084,0.001086,0.000814,0.00085,0.00085,2545087
23-01-2024,0.7883862367741399,23-01-2024,123.919998,127.239998,120.82,122.589996,122.589996,2877400,,,both,23-01-2024,0.000741,0.000855,0.000699,0.000839,0.000839,850418
22-01-2024,-0.7391638553187856,22-01-2024,113.779999,122.790001,113.0,120.75,120.75,4026800,,,both,22-01-2024,0.000903,0.000907,0.000739,0.000739,0.000739,615847
19-01-2024,0.1587653538873051,19-01-2024,118.080002,118.089996,112.290001,115.129997,115.129997,4168300,,,both,19-01-2024,0.000963,0.000964,0.000899,0.000916,0.000916,560721
18-01-2024,0.4640786568610321,18-01-2024,121.089996,121.370003,115.120003,117.989998,117.989998,3418700,,,both,18-01-2024,0.001096,0.001097,0.000962,0.000963,0.000963,753539
17-01-2024,0.3952420180234154,17-01-2024,123.019997,124.610001,120.239998,120.699997,120.699997,2818600,,,both,17-01-2024,0.001274,0.001274,0.001059,0.001096,0.001096,928819
16-02-2024,-0.1611165716532337,16-02-2024,118.870003,125.849998,118.769997,122.589996,122.589996,4405100,,,both,16-02-2024,0.000868,0.001118,0.00086,0.001118,0.001118,927653
15-02-2024,-0.54984932020498,15-02-2024,112.0,124.18,112.0,117.5,117.5,6739200,,,both,15-02-2024,0.000893,0.000895,0.00085,0.000868,0.000868,461467
14-02-2024,0.050663205289417,14-02-2024,113.730003,114.5,111.68,114.389999,114.389999,3134200,,,both,14-02-2024,0.000849,0.000896,0.000843,0.000893,0.000893,481980
13-02-2024,-0.5189994170332292,13-02-2024,114.0,114.82,111.169998,112.199997,112.199997,3997300,,,both,13-02-2024,0.000896,0.000896,0.000846,0.000849,0.000849,419983
12-02-2024,0.8692098092643052,12-02-2024,115.75,122.650002,115.660004,120.089996,120.089996,2865800,,,both,12-02-2024,0.000893,0.000921,0.000846,0.000895,0.000895,599398
09-02-2024,1.0,09-02-2024,113.5,116.190002,113.129997,115.779999,115.779999,2491700,,,both,09-02-2024,0.00095,0.000955,0.000902,0.000926,0.000926,415162
08-02-2024,-0.7944494428680186,08-02-2024,114.07,115.339996,112.279999,114.330002,114.330002,2473800,,,both,08-02-2024,0.000865,0.000959,0.00085,0.00095,0.00095,541898
07-02-2024,-0.6780666125101544,07-02-2024,114.129997,115.989998,111.5,115.050003,115.050003,2427500,,,both,07-02-2024,0.000871,0.000874,0.000844,0.000865,0.000865,412473
06-02-2024,-0.3619507809866277,06-02-2024,109.800003,114.029999,109.599998,113.019997,113.019997,3042900,,,both,06-02-2024,0.000903,0.000909,0.000871,0.000871,0.000871,361210
05-02-2024,-0.0598690364826941,05-02-2024,111.779999,112.699997,108.389999,108.730003,108.730003,3891700,,,both,05-02-2024,0.00092,0.000948,0.0009,0.000902,0.000902,450239
08-01-2024,0.5483696631237615,08-01-2024,134.199997,136.990005,132.75,136.580002,136.580002,1879300,,,both,08-01-2024,0.000687,0.00074,0.000656,0.000739,0.000739,553933
05-01-2024,0.0758907173669916,05-01-2024,135.419998,138.220001,133.949997,135.830002,135.830002,2283800,,,both,05-01-2024,0.00058,0.000825,0.000541,0.000743,0.000743,1289706
04-01-2024,1.0,04-01-2024,141.080002,141.080002,135.029999,135.929993,135.929993,3208000,,,both,04-01-2024,0.00054,0.000593,0.000537,0.00058,0.00058,540812
03-01-2024,1.0,03-01-2024,142.589996,142.899994,136.699997,140.179993,140.179993,2731000,,,both,03-01-2024,0.000618,0.000624,0.000533,0.00054,0.00054,480180
02-01-2024,-0.950503047661012,02-01-2024,143.0,149.610001,141.259995,146.889999,146.889999,1962300,,,both,02-01-2024,0.000602,0.000624,0.000583,0.000618,0.000618,401195
29-12-2023,0.9212811113254872,29-12-2023,149.029999,149.029999,142.149994,144.479996,144.479996,2834100,,,both,29-12-2023,0.000602,0.000615,0.000551,0.000591,0.000591,632617
28-12-2023,0.064420218037661,28-12-2023,149.300003,151.789993,149.0,149.429993,149.429993,1378400,,,both,28-12-2023,0.000627,0.000665,0.000572,0.000602,0.000602,470822
27-12-2023,0.894201578627808,27-12-2023,153.190002,153.210007,147.229996,149.320007,149.320007,2027600,,,both,27-12-2023,0.00065,0.000655,0.000617,0.000627,0.000627,371843
26-12-2023,-0.3339500462534691,26-12-2023,152.089996,153.089996,149.100006,152.389999,152.389999,1958100,,,both,26-12-2023,0.000635,0.000659,0.000623,0.00065,0.00065,344806
22-12-2023,0.2967247596153846,22-12-2023,145.940002,153.539993,145.449997,150.089996,150.089996,2599100,,,both,22-12-2023,0.000628,0.000687,0.000574,0.000602,0.000602,382797
21-12-2023,0.8794256490952007,21-12-2023,146.119995,147.330002,143.479996,145.449997,145.449997,1799800,,,both,21-12-2023,0.000613,0.000656,0.000588,0.000627,0.000627,407525
20-12-2023,0.0318142734307824,20-12-2023,148.619995,150.070007,141.770004,142.529999,142.529999,2627600,,,both,20-12-2023,0.000557,0.000615,0.00055,0.000613,0.000613,498485
19-12-2023,0.8381131484093401,19-12-2023,148.419998,151.289993,147.529999,148.929993,148.929993,2276800,,,both,19-12-2023,0.00058,0.000582,0.00053,0.000557,0.000557,464672
18-12-2023,0.8081291578776569,18-12-2023,147.139999,147.419998,143.919998,145.910004,145.910004,2652800,,,both,18-12-2023,0.000563,0.000581,0.000508,0.00058,0.00058,368363
15-12-2023,-0.4465632916678266,15-12-2023,147.160004,151.229996,145.509995,147.059998,147.059998,5938100,,,both,15-12-2023,0.000647,0.000647,0.000608,0.000616,0.000616,441478
16-01-2024,0.4505641277986714,16-01-2024,125.5,127.050003,123.839996,125.949997,125.949997,2256600,,,both,16-01-2024,0.001077,0.001367,0.001033,0.001269,0.001269,2653429
12-01-2024,1.0,12-01-2024,128.789993,130.119995,125.650002,126.050003,126.050003,1636800,,,both,12-01-2024,0.001122,0.001157,0.0009,0.000942,0.000942,1513285
11-01-2024,-0.2943873582511154,11-01-2024,132.740005,133.179993,127.93,128.649994,128.649994,2976800,,,both,11-01-2024,0.000906,0.001785,0.000899,0.001126,0.001126,10762318
10-01-2024,0.3158112188145558,10-01-2024,131.789993,134.089996,130.119995,132.940002,132.940002,2145700,,,both,10-01-2024,0.000819,0.00095,0.000767,0.000905,0.000905,1043617
09-01-2024,0.8465286236297199,09-01-2024,133.990005,135.119995,131.100006,133.669998,133.669998,1832400,,,both,09-01-2024,0.000738,0.000847,0.00071,0.000828,0.000828,1085610
14-12-2023,0.0977151561309977,14-12-2023,143.5,148.770004,143.350006,145.889999,145.889999,5668500,,,both,14-12-2023,0.00064,0.000688,0.000627,0.000647,0.000647,422796
13-12-2023,0.5864255963650132,13-12-2023,129.360001,140.809998,129.339996,140.059998,139.660004,4955100,,,both,13-12-2023,0.000644,0.000651,0.000614,0.00064,0.00064,342886
12-12-2023,0.1968273846796076,12-12-2023,126.540001,128.630005,123.449997,127.940002,127.574615,3062200,,,both,12-12-2023,0.000644,0.000666,0.000639,0.000644,0.000644,393603
11-12-2023,0.698189669490118,11-12-2023,124.0,127.040001,120.75,126.540001,126.178619,2798200,,,both,11-12-2023,0.000722,0.000731,0.000644,0.000644,0.000644,437345
02-02-2024,0.767537874811938,02-02-2024,114.339996,115.580002,112.5,114.25,114.25,2852400,,,both,02-02-2024,0.000904,0.000957,0.000896,0.000953,0.000953,554242
01-02-2024,-0.6031971846804688,01-02-2024,117.0,118.099998,113.290001,116.779999,116.779999,3398400,,,both,01-02-2024,0.000889,0.000948,0.000886,0.000904,0.000904,694070
08-12-2023,-0.2657598052188641,08-12-2023,129.0,133.25,127.730003,127.989998,127.624474,4842700,,,both,08-12-2023,0.000695,0.000704,0.00062,0.000632,0.000632,419095
07-12-2023,1.0,07-12-2023,121.230003,126.080002,120.949997,125.349998,124.992012,3971300,,,both,07-12-2023,0.000679,0.000716,0.000667,0.000695,0.000695,689435
06-12-2023,-0.660008022462896,06-12-2023,117.5,122.169998,116.709999,118.300003,117.962151,5036100,,,both,06-12-2023,0.000678,0.00073,0.000647,0.000679,0.000679,670688
05-12-2023,-0.5723110911099293,05-12-2023,116.220001,116.949997,112.120003,113.260002,112.936546,4357500,,,both,05-12-2023,0.000707,0.000709,0.000648,0.000678,0.000678,464762
04-12-2023,0.8847066367425457,04-12-2023,123.900002,125.959999,119.209999,119.980003,119.637352,3416700,,,both,04-12-2023,0.000722,0.000746,0.000693,0.000707,0.000707,620895
14-11-2023,0.0992568571814619,14-11-2023,118.75,126.32,118.75,125.32,124.962097,4044100,,,both,14-11-2023,0.00048,0.00048,0.000437,0.000449,0.000449,434873
13-11-2023,-0.6284883044338415,13-11-2023,114.610001,116.879997,112.0,114.190002,113.863884,4332900,,,both,13-11-2023,0.000481,0.000502,0.000469,0.00048,0.00048,588244
10-11-2023,0.0263425808093662,10-11-2023,114.75,117.760002,113.18,116.980003,116.64592,2647000,,,both,10-11-2023,0.000497,0.000635,0.00044,0.000536,0.000536,1931815
09-11-2023,0.3192813154720335,09-11-2023,119.980003,120.599998,113.639999,114.599998,114.272713,2744600,,,both,09-11-2023,0.00031,0.00053,0.00031,0.000497,0.000497,997303
08-11-2023,-0.3498876241571811,08-11-2023,121.610001,123.400002,117.860001,119.010002,118.67012,2398500,,,both,08-11-2023,0.000328,0.000333,0.000308,0.000311,0.000311,390672
07-11-2023,-0.6236128378689506,07-11-2023,119.0,123.120003,118.599998,122.110001,121.761269,2695000,,,both,07-11-2023,0.00031,0.000354,0.00031,0.000328,0.000328,517805
06-11-2023,-0.3513769418410578,06-11-2023,125.089996,125.739998,118.5,119.459999,119.118835,4014100,,,both,06-11-2023,0.000328,0.000333,0.000308,0.000311,0.000311,390672
03-11-2023,-0.2547490250345955,03-11-2023,127.809998,134.220001,126.510002,127.980003,127.614502,4234900,,,both,03-11-2023,0.000371,0.000373,0.000309,0.00033,0.00033,873087
02-11-2023,0.0959582161510647,02-11-2023,119.0,127.0,116.349998,124.620003,124.264099,7173500,,,both,02-11-2023,0.000285,0.000398,0.000282,0.000371,0.000371,771266
01-11-2023,0.7852764904937282,01-11-2023,125.779999,126.0,119.610001,122.959999,122.608841,4793400,,,both,01-11-2023,0.000273,0.000287,0.00027,0.000285,0.000285,365669
31-10-2023,-0.5342135382603008,31-10-2023,126.669998,127.349998,123.169998,126.779999,126.417931,6601200,,,both,31-10-2023,0.00027,0.000278,0.000267,0.000273,0.000273,310626
30-10-2023,0.2682397160158697,30-10-2023,136.0,137.479996,126.769997,127.410004,127.046135,3854400,,,both,30-10-2023,0.000277,0.000281,0.00027,0.00027,0.00027,288837
27-10-2023,0.1610006722366273,27-10-2023,136.789993,138.350006,133.809998,134.440002,134.056061,1508000,,,both,27-10-2023,0.000276,0.000276,0.000255,0.000259,0.000259,283381
26-10-2023,-0.2099395936298737,26-10-2023,136.389999,138.949997,134.679993,135.210007,134.823868,2272300,,,both,26-10-2023,0.00027,0.000288,0.000269,0.000275,0.000275,322639
25-10-2023,0.2087901136137133,25-10-2023,136.0,138.110001,133.220001,135.320007,134.933548,2988400,,,both,25-10-2023,0.00028,0.000286,0.000268,0.00027,0.00027,328157
24-10-2023,0.1247724974721941,24-10-2023,137.0,141.800003,136.940002,139.240005,138.842346,2326400,,,both,24-10-2023,0.000288,0.00033,0.000273,0.00028,0.00028,574806
23-10-2023,0.4425722145804678,23-10-2023,136.559998,138.850006,134.339996,136.279999,135.890793,3210900,,,both,23-10-2023,0.000283,0.000337,0.000281,0.000288,0.000288,504048
19-10-2023,-0.0533897794988061,19-10-2023,150.570007,151.600006,142.669998,144.559998,144.147156,4207900,,,both,19-10-2023,0.000231,0.000236,0.000218,0.000219,0.000219,333493
18-10-2023,0.5701876926678893,18-10-2023,163.649994,164.059998,152.059998,152.889999,152.453354,5773400,,,both,18-10-2023,0.00023,0.000233,0.000227,0.000231,0.000231,281977
17-10-2023,0.0975898135516143,17-10-2023,166.220001,172.089996,165.509995,169.479996,168.995972,1594500,,,both,17-10-2023,0.000237,0.000237,0.000229,0.00023,0.00023,271079
16-10-2023,-0.1643082222613665,16-10-2023,165.970001,169.839996,165.580002,167.729996,167.250977,1884300,,,both,16-10-2023,0.00024,0.000249,0.000234,0.000237,0.000237,261783
13-10-2023,0.6365208796639485,13-10-2023,171.839996,175.199997,162.800003,163.380005,162.913406,2288900,,,both,13-10-2023,0.000234,0.000234,0.000227,0.000231,0.000231,286697
12-10-2023,0.97578623110538,12-10-2023,174.800003,177.520004,165.940002,170.800003,170.31221,3322900,,,both,12-10-2023,0.000241,0.000242,0.000232,0.000234,0.000234,298198
11-10-2023,0.790401245952703,11-10-2023,162.080002,166.339996,162.080002,164.800003,164.329346,1777300,,,both,11-10-2023,0.000238,0.000244,0.000234,0.000241,0.000241,318346
10-10-2023,0.8532678342588637,10-10-2023,158.759995,164.0,158.009995,162.080002,161.617111,2484900,,,both,10-10-2023,0.000245,0.000247,0.000237,0.000238,0.000238,312251
09-10-2023,-0.2869183285849953,09-10-2023,157.190002,158.5,153.199997,155.75,155.305191,2607400,,,both,09-10-2023,0.000263,0.000263,0.000244,0.000245,0.000245,301213
20-10-2023,-0.2197973499610288,20-10-2023,142.940002,144.619995,138.550003,138.679993,138.283936,3655200,,,both,20-10-2023,0.000219,0.000235,0.000218,0.000235,0.000235,326333
06-10-2023,0.7826925931423483,06-10-2023,154.660004,161.169998,153.660004,159.839996,159.383514,1834200,,,both,06-10-2023,0.000249,0.000256,0.000249,0.000254,0.000254,265045
05-10-2023,-0.4896744557619333,05-10-2023,157.210007,157.669998,152.0,155.029999,154.58725,1948500,,,both,05-10-2023,0.000254,0.000255,0.000249,0.000249,0.000249,276661
04-10-2023,-0.4525203252032518,04-10-2023,157.559998,158.880005,152.130005,158.399994,157.947617,2304300,,,both,04-10-2023,0.000249,0.000255,0.000246,0.000254,0.000254,292731
03-10-2023,0.6763740336757386,03-10-2023,160.0,161.300003,155.149994,156.770004,156.322281,2514900,,,both,03-10-2023,0.000246,0.000251,0.000245,0.000249,0.000249,291701
02-10-2023,0.0314789030813003,02-10-2023,169.190002,169.589996,161.369995,162.410004,161.946182,1949900,,,both,02-10-2023,0.000256,0.000275,0.000242,0.000246,0.000246,327024
29-09-2023,0.2714056409080486,29-09-2023,175.0,176.830002,169.690002,170.039993,169.554382,1969600,,,both,29-09-2023,0.000244,0.000256,0.000243,0.000249,0.000249,284259
28-09-2023,-0.3870641273346213,28-09-2023,163.979996,173.279999,163.520004,172.399994,171.907639,2547500,,,both,28-09-2023,0.000254,0.00026,0.000243,0.000244,0.000244,283497
27-09-2023,0.4888832743810005,27-09-2023,165.110001,165.580002,162.070007,162.630005,162.165558,2245600,,,both,27-09-2023,0.000256,0.00026,0.000248,0.000254,0.000254,311961
26-09-2023,0.2005874433973808,26-09-2023,164.509995,166.160004,162.0,163.649994,163.182632,2295000,,,both,26-09-2023,0.000258,0.000264,0.000254,0.000256,0.000256,277191
25-09-2023,-0.2763046373652986,25-09-2023,166.389999,167.899994,164.229996,166.889999,166.413376,1788700,,,both,25-09-2023,0.000275,0.000283,0.000247,0.000258,0.000258,336171
22-09-2023,0.5298928369994359,22-09-2023,172.149994,173.509995,167.679993,168.210007,167.729614,1288100,,,both,22-09-2023,0.000271,0.000282,0.000267,0.000275,0.000275,293222
21-09-2023,-0.004904204538024,21-09-2023,172.5,172.720001,167.669998,168.940002,168.457535,2246100,,,both,21-09-2023,0.000279,0.000279,0.000269,0.000271,0.000271,274508
20-09-2023,0.0301574150787075,20-09-2023,180.089996,181.479996,174.210007,174.440002,173.941818,1729600,,,both,20-09-2023,0.000279,0.000282,0.000277,0.000279,0.000279,275170
19-09-2023,0.190729321709547,19-09-2023,181.300003,182.25,178.410004,179.990005,179.475967,1397000,,,both,19-09-2023,0.000294,0.000294,0.000279,0.000279,0.000279,277080
18-09-2023,0.5460576855925693,18-09-2023,183.380005,183.5,179.470001,181.619995,181.101303,1419800,,,both,18-09-2023,0.000278,0.000301,0.000277,0.000294,0.000294,309935
01-12-2023,0.9107137134249914,01-12-2023,119.720001,126.220001,119.199997,126.160004,125.799706,2803400,,,both,01-12-2023,0.000646,0.000702,0.000623,0.000642,0.000642,522554
30-11-2023,0.9212830515821416,30-11-2023,124.209999,124.209999,118.800003,121.269997,120.92366,4047900,,,both,30-11-2023,0.000655,0.000685,0.000633,0.000646,0.000646,643747
29-11-2023,0.9187294959737548,29-11-2023,126.459999,128.449997,121.629997,123.379997,123.027634,2546400,,,both,29-11-2023,0.000724,0.000739,0.000644,0.000655,0.000655,615288
28-11-2023,-0.5660917191204119,28-11-2023,121.5,125.949997,120.169998,123.910004,123.556129,2438800,,,both,28-11-2023,0.000663,0.000819,0.000662,0.000724,0.000724,1067795
27-11-2023,0.6959314775160599,27-11-2023,125.400002,125.790001,118.32,120.779999,120.435066,4314700,,,both,27-11-2023,0.00069,0.000753,0.000651,0.000663,0.000663,653079
24-11-2023,0.5474604496253123,24-11-2023,125.239998,130.279999,125.199997,128.869995,128.501953,1429500,,,both,24-11-2023,0.00065,0.000765,0.000643,0.000663,0.000663,795290
22-11-2023,-0.212028360708305,22-11-2023,126.129997,126.629997,121.0,126.589996,126.22847,2590700,,,both,22-11-2023,0.000785,0.000887,0.000639,0.000766,0.000766,1667388
21-11-2023,0.2156052189639581,21-11-2023,128.699997,130.720001,125.410004,126.129997,125.769783,2553500,,,both,21-11-2023,0.000555,0.00091,0.000549,0.000786,0.000786,3513178
20-11-2023,0.5981639093430238,20-11-2023,127.57,131.509995,126.25,130.360001,129.987701,2915700,,,both,20-11-2023,0.000462,0.000628,0.000461,0.000555,0.000555,1420110
17-11-2023,0.9696780243826196,17-11-2023,125.0,127.43,123.040001,127.389999,127.026184,2016300,,,both,17-11-2023,0.000484,0.000497,0.000457,0.000486,0.000486,312067
16-11-2023,0.4852101712506486,16-11-2023,124.800003,127.040001,120.480003,122.599998,122.249863,3561700,,,both,16-11-2023,0.000527,0.00054,0.000483,0.000484,0.000484,321928
15-11-2023,0.1473845770937902,15-11-2023,127.169998,134.460007,127.160004,127.720001,127.355247,3351300,,,both,15-11-2023,0.000449,0.000527,0.000447,0.000527,0.000527,452654
30-08-2023,-0.3895448287371189,30-08-2023,197.210007,199.220001,195.710007,198.589996,197.593719,1081400,,,both,30-08-2023,0.000346,0.000358,0.000326,0.000328,0.000328,212911
29-08-2023,1.0,29-08-2023,190.630005,198.789993,189.460007,197.75,196.757935,1713000,,,both,29-08-2023,0.000325,0.000349,0.000317,0.000346,0.000346,196653
28-08-2023,-0.4236572118286059,28-08-2023,189.470001,192.979996,189.009995,189.639999,188.688614,1176300,,,both,28-08-2023,0.000318,0.000343,0.000311,0.000325,0.000325,252428
25-08-2023,1.0,25-08-2023,190.0,190.869995,185.660004,189.740005,188.788101,1761100,,,both,25-08-2023,0.000318,0.000318,0.000302,0.000308,0.000308,156459
24-08-2023,0.0886042167066987,24-08-2023,192.039993,192.929993,189.350006,190.740005,189.783096,1281300,,,both,24-08-2023,0.000334,0.000335,0.000315,0.000318,0.000318,163502
23-08-2023,0.9469591226321036,23-08-2023,188.520004,192.350006,186.759995,191.779999,190.817871,1189200,,,both,23-08-2023,0.000361,0.000362,0.000331,0.000334,0.000334,410964
22-08-2023,0.0136736554238833,22-08-2023,189.759995,190.470001,185.880005,188.160004,187.216049,1869900,,,both,22-08-2023,0.000293,0.000386,0.00029,0.000361,0.000361,519329
21-08-2023,0.8996728462377316,21-08-2023,185.979996,188.539993,185.699997,188.070007,187.126495,1787100,,,both,21-08-2023,0.000286,0.000295,0.000284,0.000293,0.000293,165472
01-09-2023,1.0,01-09-2023,200.660004,202.039993,198.600006,200.259995,199.255325,1158100,,,both,01-09-2023,0.000352,0.000354,0.000321,0.000325,0.000325,137027
31-08-2023,1.0,31-08-2023,199.589996,199.970001,197.899994,198.710007,197.71312,1001100,,,both,31-08-2023,0.000328,0.000353,0.000321,0.000352,0.000352,192439
